ad_spend,sales
7.5,534.0
7.7,575.0
8.4,560.0
9.6,533.9
10.4,534.4
10.6,571.7
11.0,530.4
12.1,619.9
12.7,608.5
13.2,572.3
14.0,548.4
15.2,635.0
16.5,609.1
17.0,647.0
17.5,580.1
17.6,605.2
18.1,624.4
20.1,639.8
20.6,630.6
22.0,667.3
22.8,630.0
23.3,656.2
23.5,664.2
25.2,684.4
25.2,689.5
26.4,650.6
27.4,646.3
27.4,716.8
27.5,693.5
27.8,668.1
28.0,726.8
30.5,704.5
30.6,731.6
32.9,715.6
33.5,768.5
33.8,762.2
36.5,725.0
37.2,758.9
39.3,760.4
39.9,781.0
40.2,724.0
41.0,768.6
41.5,780.1
41.7,710.2
41.9,725.6
43.1,709.2
43.5,755.0
43.8,781.1
45.3,806.5
46.3,774.9
46.6,814.9
46.6,739.8
47.0,733.0
47.2,775.2
48.8,792.1
49.7,784.9
50.1,735.7
50.2,785.3
51.1,758.2
51.4,808.6
51.5,801.5
51.7,769.7
53.1,785.1
53.3,772.3
53.4,797.5
54.9,827.9
55.1,780.0
55.2,817.8
56.0,794.7
58.4,795.9
59.5,816.5
60.0,795.1
61.2,810.6
62.4,798.2
62.5,877.6
62.9,830.8
63.2,813.2
63.5,837.0
63.8,829.8
64.2,828.2
64.3,849.5
65.4,856.3
67.9,831.3
73.1,844.5
74.0,854.6
74.3,804.7
74.8,825.5
75.8,900.2
76.7,909.6
82.2,876.1
82.2,896.8
82.4,890.6
84.6,965.0
84.8,916.5
85.0,885.8
85.7,866.6
88.9,857.9
89.4,904.3
90.7,883.3
90.8,866.8
91.3,887.3
92.7,879.5
92.8,949.0
95.0,933.6
95.8,913.1
96.5,951.8
97.3,918.5
97.4,895.0
98.1,956.3
101.6,938.9
101.9,900.1
102.0,921.4
103.4,907.0
103.8,895.3
110.1,965.2
111.8,993.0
114.9,916.0
115.7,966.4
116.0,936.6
117.1,942.7
117.8,941.4
118.3,935.3
122.4,965.4
122.6,943.8
123.6,972.9
124.7,966.8
124.8,962.3
125.8,947.2
127.6,958.5
128.4,993.1
128.9,987.5
129.6,951.8
132.7,983.6
133.1,1000.6
136.3,945.0
139.1,1004.6
139.3,974.8
142.3,1010.2
142.9,977.7
143.6,952.6
144.0,957.7
144.1,999.7
144.1,1005.0
144.5,976.6
144.6,1015.3
146.0,959.8
146.4,1000.3
146.8,972.3
148.4,988.5
149.2,1007.0
149.6,985.0
150.1,997.6
150.3,1032.7
150.8,993.7
153.9,1033.4
155.6,986.5
155.8,1028.3
158.9,1055.3
159.3,958.0
160.6,1001.6
161.9,1037.6
162.4,1018.8
162.9,1033.7
163.1,1009.6
163.4,1027.3
163.8,1021.7
164.9,1056.2
165.0,1033.5
166.0,1036.8
166.0,1018.2
166.1,1016.4
167.7,1019.8
168.8,1041.8
172.1,1025.6
172.3,1043.6
172.8,1088.8
173.7,1059.8
173.8,1030.0
177.9,1073.0
178.7,1033.8
179.9,994.4
181.2,1021.7
181.6,1000.6
182.4,1039.5
182.9,1049.3
183.3,1091.2
185.0,1059.4
186.3,1047.3
187.0,1074.2
187.1,998.2
188.2,1060.7
188.5,1074.4
189.1,1018.9
190.3,1085.7
190.4,1065.7
190.4,1046.9
190.6,1073.2
190.9,1114.5
191.2,1062.7
195.6,1069.0
196.1,1051.9
196.4,1042.5
197.1,1085.2
197.4,1043.3
197.7,1066.8
199.6,1055.0
202.3,1081.7
207.4,1083.3
208.1,1101.6
209.2,1064.0
211.6,1072.3
212.7,1055.6
215.0,1071.1
216.4,1093.0
216.6,1102.7
217.0,1061.0
217.4,1106.2
218.8,1119.7
219.8,1097.0
222.3,1135.9
222.9,1070.2
223.6,1059.0
227.0,1048.7
230.0,1133.2
230.6,1112.6
230.8,1095.1
231.8,1104.4
234.5,1071.5
235.5,1161.6
237.0,1105.0
238.7,1105.9
239.4,1121.8
239.7,1116.0
247.3,1115.6
248.3,1091.1
248.8,1123.0
248.8,1158.3
249.4,1145.3
249.7,1151.8
250.1,1099.4
251.1,1088.3
253.3,1111.5
253.8,1116.4
253.8,1142.4
254.1,1072.9
255.1,1154.2
256.7,1113.3
257.8,1107.3
258.1,1092.9
258.5,1077.1
259.5,1139.9
260.6,1121.8
261.6,1088.5
261.8,1088.5
262.4,1113.0
263.5,1163.8
263.8,1115.8
263.9,1084.8
264.8,1116.9
266.2,1117.2
267.2,1057.3
268.0,1123.9
270.2,1121.0
272.0,1145.4
272.6,1174.6
273.6,1157.2
273.6,1122.4
275.1,1102.4
275.6,1194.7
276.6,1132.5
276.9,1131.6
277.0,1130.7
279.2,1137.7
279.4,1129.3
279.8,1118.8
280.6,1120.0
281.4,1133.3
282.8,1121.5
286.3,1119.4
287.2,1140.4
288.9,1132.4
289.9,1177.0
290.6,1073.5
291.2,1167.5
293.8,1172.9
293.9,1090.0
294.2,1133.4
295.0,1133.1
297.5,1108.7
297.5,1124.4
298.2,1116.6
301.0,1189.7
301.3,1169.5
302.6,1178.5
305.2,1166.2
305.7,1120.3
306.7,1135.9
307.8,1161.8
307.9,1119.1
309.4,1168.3
309.8,1144.7
311.0,1142.0
312.0,1169.6
313.3,1163.6
313.5,1143.6
314.8,1182.3
315.6,1126.7
316.3,1169.5
316.6,1169.0
317.4,1146.9
317.8,1162.9
318.0,1123.6
318.4,1178.2
318.5,1150.5
318.6,1142.1
319.4,1181.8
320.0,1138.3
320.5,1120.9
320.6,1117.3
322.8,1172.4
323.0,1125.4
323.4,1201.4
324.4,1106.0
324.5,1200.5
326.4,1164.2
326.6,1156.7
326.7,1145.5
327.7,1169.6
330.5,1160.0
331.1,1188.7
331.7,1164.3
331.8,1165.2
332.9,1152.9
333.4,1160.8
337.7,1171.8
337.9,1121.4
340.4,1131.6
343.1,1185.0
343.7,1170.9
347.0,1163.4
347.5,1168.7
349.4,1177.7
349.5,1155.5
349.5,1149.6
349.9,1174.1
350.0,1144.8
352.0,1180.2
352.5,1127.6
352.7,1196.0
353.0,1182.2
353.3,1176.9
354.6,1195.6
354.9,1212.8
355.5,1196.7
357.5,1126.1
358.1,1140.3
358.7,1156.9
362.6,1174.6
364.3,1187.5
364.4,1156.5
365.5,1179.6
365.9,1156.2
366.2,1159.9
367.3,1140.4
368.9,1153.1
370.3,1142.8
371.7,1152.7
374.3,1204.3
374.5,1154.3
376.6,1244.5
376.7,1191.0
377.4,1183.5
377.9,1157.6
378.5,1196.8
379.0,1165.0
380.1,1182.8
381.6,1244.2
381.9,1177.9
382.0,1209.0
