area,rooms,distance_km,age,price
273.9,4,19.7,6.4,531290
196.7,5,8.6,40.6,537317
294.7,3,16.5,41.0,489549
194.2,5,16.2,31.3,500970
201.9,5,3.9,41.0,541741
179.8,2,10.7,32.6,484707
54.6,3,14.2,10.3,376037
226.1,3,17.3,13.7,488820
177.8,3,7.2,10.7,463841
151.7,5,5.2,18.9,536928
275.8,4,14.5,1.9,568930
110.4,3,16.4,30.9,407762
171.4,5,7.6,16.8,577836
218.4,2,2.8,32.8,498751
245.0,4,18.9,19.3,465277
154.0,2,8.6,34.1,444483
257.4,4,10.8,17.0,552969
237.6,5,16.9,13.0,560373
47.9,1,13.8,24.8,336358
42.4,4,15.0,34.6,391023
197.6,2,5.0,17.4,471614
123.8,5,11.3,46.8,468012
86.5,4,14.2,2.0,417948
186.5,1,5.3,20.9,452725
122.2,1,4.3,48.4,428734
175.1,3,19.7,27.4,453718
154.2,3,10.8,21.2,483059
187.9,2,6.0,28.4,462739
138.1,4,19.9,28.8,436910
218.4,4,19.3,36.6,487644
78.6,3,11.6,6.4,412114
218.1,4,17.8,12.5,520747
141.1,4,4.6,29.0,488304
266.1,1,6.3,43.4,468695
169.1,3,14.3,28.1,469761
292.7,5,17.1,11.9,541279
192.5,3,17.3,34.0,443486
90.4,5,8.7,37.0,449329
251.9,1,17.9,11.9,460825
123.2,2,17.2,18.9,393760
123.9,4,18.8,26.7,466798
38.6,1,15.9,24.8,291699
178.2,4,13.7,19.5,502982
174.3,2,12.0,14.9,449863
126.1,2,8.1,5.0,436529
271.4,1,18.9,2.7,464066
64.8,2,19.5,47.9,356972
119.1,5,6.4,42.4,488343
116.8,2,6.8,17.7,440595
54.9,4,10.2,47.8,407979
159.9,4,9.5,33.8,503097
215.7,4,19.9,24.1,487587
168.1,4,4.3,24.7,507982
72.4,5,1.3,4.2,487686
131.9,3,10.4,4.6,464235
30.7,1,4.4,30.1,320383
264.4,4,8.0,27.7,520564
52.8,2,15.1,10.6,360772
191.3,4,14.7,47.3,471770
296.3,2,6.9,39.1,518803
174.9,2,11.3,5.7,456279
279.5,4,10.7,46.5,515535
93.8,5,13.1,48.7,456306
235.2,2,5.8,49.8,484869
173.4,2,12.2,2.8,498598
224.5,4,19.6,36.9,461462
46.8,2,10.2,27.3,354981
69.9,2,18.2,35.3,374405
65.9,4,9.3,48.4,404450
215.5,4,7.7,34.4,506036
258.0,1,13.3,41.8,440478
232.4,5,13.7,43.3,498896
38.2,5,17.4,41.9,388510
264.1,2,5.4,21.3,504404
125.6,5,10.5,11.1,492922
137.2,2,11.9,19.8,406353
58.3,1,15.6,44.6,304658
229.1,4,1.8,7.3,577563
79.2,4,19.9,25.7,411799
182.3,4,9.9,11.7,528319
257.0,5,6.3,29.1,576056
54.1,1,17.8,43.2,299298
174.5,5,15.2,44.0,531791
93.0,5,19.1,11.8,478585
122.6,1,7.3,45.4,401706
158.0,1,11.5,29.6,372165
125.9,1,11.9,17.5,407101
205.2,1,19.6,35.4,422903
159.5,4,2.4,24.1,507905
187.7,3,6.8,18.9,495605
228.9,3,4.6,35.3,500739
180.6,1,6.1,12.4,475002
188.4,3,10.2,16.5,491108
182.4,3,8.1,21.7,505666
132.3,1,8.5,12.7,447280
121.1,3,17.0,20.3,399871
272.9,5,18.7,28.6,516874
194.0,2,2.3,37.0,476547
96.0,2,5.0,38.4,459610
164.5,1,13.8,41.1,418656
119.2,4,7.8,37.2,482601
282.1,1,5.8,34.1,458656
32.0,4,6.6,11.9,383724
90.8,2,7.1,20.0,434011
128.6,1,17.1,23.9,408178
161.7,5,3.6,4.1,553355
259.7,3,14.5,26.4,498346
53.7,4,11.5,21.8,404222
247.6,3,6.6,40.1,485587
45.0,3,9.0,48.9,349697
257.4,1,5.9,27.8,486018
43.9,3,12.6,16.1,355966
34.9,5,2.6,2.2,435854
218.2,3,1.1,46.2,521416
299.3,1,12.9,46.0,484847
272.1,5,4.7,12.6,592465
185.5,2,2.3,34.8,486833
277.7,3,8.5,3.8,543840
31.4,1,2.0,8.3,350851
293.3,2,17.8,10.8,477918
162.5,2,1.5,14.7,480379
225.2,4,12.0,49.8,501009
251.6,5,9.3,34.8,539688
224.0,3,13.8,19.2,507251
174.5,1,7.2,36.9,433394
158.7,4,3.9,45.8,519411
256.4,5,19.7,47.9,505307
85.4,4,16.9,2.9,440581
291.4,5,17.3,19.7,544554
222.0,5,5.8,5.3,547626
83.9,3,1.7,16.8,450435
228.8,5,6.8,8.5,565100
173.1,4,11.2,32.3,491540
221.0,5,7.2,19.4,530369
237.3,3,16.7,11.5,517144
53.6,3,6.2,13.3,404666
166.6,4,19.3,18.0,460328
281.6,2,9.7,13.0,530000
116.6,2,17.0,22.7,417616
190.3,5,4.7,1.6,537018
129.7,1,8.8,14.0,410104
152.7,5,14.3,20.6,495765
178.1,4,3.6,30.1,523102
178.2,4,3.5,13.5,536638
84.5,4,19.4,6.7,437569
214.8,4,14.6,3.8,522046
53.7,4,1.8,47.0,440056
67.5,3,8.6,20.8,412703
30.7,2,9.2,29.1,310390
61.5,4,15.1,46.0,391093
157.8,1,5.8,4.1,454481
193.6,1,4.5,43.8,417186
244.5,1,2.5,27.6,480104
58.8,1,9.1,8.2,369122
259.7,3,14.1,20.6,495872
231.4,1,2.1,38.9,470086
140.3,4,18.4,24.0,471997
281.9,5,9.4,49.3,534728
297.6,1,5.6,18.8,510235
85.4,3,2.8,37.5,418660
132.4,3,4.5,19.6,519025
280.1,1,18.8,41.5,440586
224.8,5,13.1,28.5,524771
