con_novia,llueve,viernes,sale,temperatura,hora_invitacion
Sí,Sí,No,No,21.7,20.0
No,No,No,No,18.9,18.8
No,Sí,Sí,Sí,26.6,15.6
No,No,Sí,Sí,30.1,17.8
Sí,Sí,Sí,Sí,23.1,13.4
Sí,No,Sí,Sí,23.1,13.4
Sí,No,No,No,15.7,17.6
No,No,No,No,23.3,20.6
No,No,No,Sí,22.1,12.8
No,Sí,No,Sí,26.2,15.4
Sí,No,Sí,Sí,22.1,12.8
No,No,No,Sí,22.1,12.8
No,No,No,Sí,25.0,14.6
Sí,No,No,No,21.1,19.7
Sí,No,No,No,23.2,20.6
Sí,No,No,No,22.7,20.4
Sí,Sí,No,No,13.8,16.8
No,Sí,No,No,16.5,17.9
No,Sí,Sí,Sí,20.4,11.7
Sí,No,Sí,No,22.9,20.5
No,No,Sí,No,15.6,17.5
Sí,Sí,No,No,17.1,18.1
Sí,No,Sí,No,12.5,16.3
Sí,No,No,No,12.0,16.1
No,Sí,No,Sí,21.8,12.6
No,No,Sí,Sí,24.4,14.3
Sí,Sí,No,No,17.6,18.4
No,No,No,Sí,25.5,14.9
No,Sí,Sí,Sí,21.6,12.5
Sí,No,Sí,Sí,22.8,13.3
No,No,Sí,Sí,21.6,12.5
Sí,Sí,Sí,Sí,31.4,18.6
Sí,Sí,No,No,17.8,18.4
No,No,No,Sí,19.8,11.4
No,No,No,No,4.9,13.3
No,No,No,Sí,19.1,10.9
Sí,No,No,No,18.4,18.7
Sí,Sí,Sí,No,16.5,17.9
No,No,No,Sí,18.7,10.7
No,Sí,No,No,8.1,14.5
