id,square_meters,age,price,bedrooms,bathrooms,floor,distance_to_center_km,has_garage,build_quality,property_type,neighborhood
1,152,33,338200,4,2,1,4.3,1,10,Single Family,El Prado
2,142,24,266900,4,3,8,6.6,1,3,Single Family,Las Flores
3,64,11,170800,2,1,1,14.0,1,6,Apartment,El Mirador
4,156,49,236600,4,3,9,18.0,1,5,Apartment,Miraflores
5,121,8,284300,3,2,11,16.7,0,10,Apartment,Villa Verde
6,70,36,231400,2,1,6,7.4,1,8,Apartment,La Merced
7,152,38,267400,4,2,7,23.9,0,8,Single Family,Santa Rosa
8,171,40,240000,5,3,13,18.6,1,6,Apartment,San Miguel
9,124,20,229800,4,2,10,14.1,1,5,Apartment,San Miguel
10,137,35,282500,4,2,7,15.5,1,4,Single Family,Centro Historico
11,166,48,215600,5,3,10,10.8,1,2,Apartment,El Bosque
12,149,25,293500,4,3,3,6.6,0,8,Apartment,Los Olivos
13,153,35,343800,4,3,2,9.2,0,8,Single Family,El Bosque
14,180,25,362700,5,3,9,19.1,1,10,Townhouse,Miraflores
15,199,29,434600,6,4,8,0.9,1,10,Single Family,Villa Verde
16,102,18,246300,3,1,13,3.3,0,6,Single Family,Plaza Mayor
17,51,46,191200,1,1,12,1.6,0,8,Apartment,El Prado
18,137,18,300300,4,2,10,1.5,1,9,Apartment,San Miguel
19,87,2,218200,2,1,7,21.5,0,8,Single Family,Las Flores
20,179,35,283500,5,3,9,17.7,1,4,Apartment,Plaza Mayor
21,70,16,194600,2,1,4,12.1,1,6,Apartment,Plaza Mayor
22,107,41,171300,3,2,13,2.9,0,3,Apartment,Monte Verde
23,71,36,220700,2,1,4,12.5,0,10,Apartment,El Prado
24,138,33,288500,4,3,1,12.1,1,7,Apartment,Belen
25,98,4,251400,3,2,8,4.7,1,4,Apartment,La Esperanza
26,108,33,250100,3,2,14,11.1,1,7,Apartment,San Jose
27,64,14,196900,2,1,14,10.3,1,7,Apartment,Las Palmas
28,100,21,196100,3,1,12,15.6,1,5,Townhouse,La Esperanza
29,157,48,252500,4,2,3,16.1,1,3,Single Family,Villa Sol
30,104,20,281100,3,2,7,1.6,1,7,Single Family,El Bosque
31,113,8,288600,3,2,15,9.7,1,6,Single Family,El Bosque
32,180,7,278000,5,3,12,15.8,0,8,Apartment,San Pedro
33,100,3,229900,3,2,2,12.8,1,6,Apartment,El Bosque
34,184,17,361900,5,3,2,21.5,1,8,Single Family,El Prado
35,70,33,225700,2,1,7,16.6,1,6,Single Family,Monte Verde
36,122,48,246600,3,1,15,4.5,1,6,Single Family,La Florida
37,67,12,208800,2,1,6,2.2,0,9,Apartment,Centro Historico
38,181,22,276600,5,3,3,16.2,1,5,Apartment,San Antonio
39,138,22,201900,4,3,9,1.1,0,3,Apartment,Los Pinos
40,109,46,138600,3,2,10,14.9,1,1,Apartment,Centro Historico
41,63,30,202000,2,1,15,23.5,0,8,Single Family,La Esperanza
42,58,38,172700,2,1,14,14.6,0,7,Single Family,El Carmen
43,139,38,258300,4,2,13,10.0,0,7,Apartment,Centro Historico
44,102,45,181300,3,2,6,16.3,1,4,Townhouse,Los Pinos
45,179,8,296900,5,2,10,11.7,1,3,Single Family,San Antonio
46,133,27,155400,4,3,10,13.9,1,1,Apartment,La Merced
47,141,27,207600,4,2,6,23.6,1,5,Apartment,El Prado
48,160,34,289800,5,3,1,10.0,1,6,Apartment,Las Flores
49,57,21,114100,2,1,4,24.0,0,5,Apartment,El Bosque
50,84,30,177700,2,1,10,22.7,1,6,Apartment,El Bosque
51,130,33,278600,4,2,6,5.3,0,9,Apartment,Monte Verde
52,99,28,223300,3,2,15,2.2,1,5,Apartment,San Pedro
53,153,47,238200,4,2,6,3.0,0,6,Apartment,Monte Verde
54,181,33,350200,5,3,11,0.9,1,8,Townhouse,La Florida
55,51,5,149400,1,1,12,2.8,0,5,Apartment,La Florida
56,183,48,337700,5,3,5,17.2,1,7,Single Family,San Miguel
57,103,19,271900,3,2,1,2.2,1,8,Apartment,San Pedro
58,155,4,347900,4,3,8,8.3,1,9,Townhouse,Monte Verde
59,53,35,128600,2,1,5,21.2,0,3,Apartment,El Bosque
60,103,49,258600,3,2,12,1.1,1,9,Apartment,Las Palmas
61,195,17,340600,6,4,12,20.5,1,6,Townhouse,Nuevo Horizonte
62,93,44,150400,3,2,12,7.4,1,4,Townhouse,Los Pinos
63,63,28,192100,2,1,5,3.4,1,6,Single Family,Los Pinos
64,144,30,289200,4,2,7,17.6,1,10,Apartment,Centro Historico
65,97,29,195600,3,2,4,15.9,1,6,Apartment,Nuevo Horizonte
66,64,46,175300,2,1,6,22.0,1,5,Single Family,San Pedro
67,89,6,238800,3,2,13,18.5,1,7,Townhouse,Belen
68,131,35,227200,4,2,4,20.2,1,4,Single Family,La Florida
69,160,41,230200,5,3,14,7.4,0,2,Single Family,La Esperanza
70,102,37,172800,3,2,15,4.8,0,3,Apartment,Centro Historico
71,73,24,177500,2,1,3,18.9,1,3,Single Family,Plaza Mayor
72,173,29,214600,5,3,7,20.3,1,3,Apartment,San Antonio
73,90,49,133900,3,2,8,24.8,1,3,Apartment,Centro Historico
74,64,46,188300,2,1,4,10.6,1,7,Apartment,Belen
75,94,31,206600,3,2,13,9.6,0,4,Single Family,Los Olivos
76,114,35,171900,3,2,2,19.5,0,5,Apartment,La Merced
77,138,33,310400,4,3,12,8.8,1,9,Apartment,Las Palmas
78,120,21,255000,3,2,10,23.3,1,6,Single Family,Plaza Mayor
79,58,32,164600,2,1,14,21.5,1,7,Apartment,Las Palmas
80,137,23,221700,4,3,3,11.0,0,3,Single Family,Centro Historico
81,178,33,255000,5,3,1,18.9,1,4,Apartment,Los Olivos
82,185,3,230000,5,2,8,19.0,1,2,Apartment,La Florida
83,112,18,242600,3,2,15,3.0,1,3,Single Family,San Jose
84,188,25,244200,5,3,3,22.6,1,4,Apartment,Los Pinos
85,130,42,167400,4,2,12,12.9,0,3,Apartment,Belen
86,185,31,224000,5,3,10,20.7,1,2,Apartment,San Jose
87,82,3,192900,2,2,7,8.3,1,3,Apartment,El Mirador
88,172,40,240900,5,3,10,22.4,0,6,Townhouse,Nuevo Horizonte
89,54,46,140700,2,1,5,10.0,1,4,Apartment,El Mirador
90,90,24,251600,3,2,10,0.8,1,5,Single Family,Los Pinos
91,77,50,189200,2,1,5,22.7,1,6,Apartment,El Bosque
92,184,32,343000,5,3,14,2.7,1,7,Single Family,Plaza Mayor
93,121,47,180000,3,2,7,8.3,1,1,Single Family,Los Pinos
94,61,22,210000,2,1,15,23.8,1,8,Single Family,Belen
95,82,23,170400,2,1,9,23.8,1,7,Apartment,Santa Rosa
96,97,2,195300,3,2,12,14.5,1,2,Apartment,San Jose
97,200,27,326900,6,4,5,16.0,0,9,Apartment,La Merced
98,111,42,230300,3,1,1,11.5,0,9,Townhouse,Monte Verde
99,86,2,208000,2,1,10,7.7,1,2,Single Family,Monte Verde
100,148,26,215200,4,2,10,8.6,1,4,Townhouse,Belen
