borrower_score,payment_inc_ratio,outcome
0.451,5.83,default
0.632,7.82,paid off
0.308,17.27,default
0.653,7.85,paid off
0.398,15.38,default
0.639,4.2,paid off
0.689,4.96,paid off
0.47,11.21,default
0.568,4.62,paid off
0.388,8.72,default
0.232,7.03,default
0.48,4.67,paid off
0.62,4.18,paid off
0.558,7.09,default
0.342,17.12,default
0.465,9.44,paid off
0.661,3.73,paid off
0.588,4.68,paid off
0.287,11.21,default
0.386,7.19,default
0.704,12.01,paid off
0.603,6.55,paid off
0.716,6.35,paid off
0.385,11.95,default
0.675,5.92,paid off
0.436,12.25,default
0.271,20.0,default
0.628,12.82,paid off
0.595,5.57,paid off
0.495,3.11,paid off
0.714,3.03,paid off
0.333,12.9,default
0.578,3.64,paid off
0.394,9.29,default
0.773,6.69,paid off
0.615,6.9,paid off
0.425,14.46,default
0.384,4.07,paid off
0.488,7.21,paid off
0.427,4.15,paid off
0.634,4.23,paid off
0.753,4.26,paid off
0.61,2.96,paid off
0.8,7.69,paid off
0.693,5.55,paid off
0.653,8.34,paid off
0.497,13.13,default
0.682,7.58,paid off
0.418,7.71,default
0.617,6.73,paid off
0.711,1.68,paid off
0.474,8.82,default
0.533,6.54,paid off
0.593,18.95,default
0.593,4.68,paid off
0.409,9.28,default
0.47,2.18,paid off
0.653,7.15,paid off
0.471,12.15,default
0.614,1.95,paid off
0.5,2.13,paid off
0.508,3.18,paid off
0.66,6.58,paid off
0.621,2.55,paid off
0.554,12.14,paid off
0.54,4.51,paid off
0.648,6.49,paid off
0.422,4.57,paid off
0.521,8.44,paid off
0.681,3.85,paid off
0.241,5.04,default
0.283,9.28,default
0.398,7.83,default
0.517,7.7,default
0.622,3.39,paid off
0.669,3.12,paid off
0.438,4.5,default
0.509,7.26,default
0.276,10.92,default
0.416,10.22,default
0.477,14.21,default
0.307,6.03,default
0.753,2.78,paid off
0.305,15.46,default
0.299,15.36,default
0.564,13.38,paid off
0.269,14.97,default
0.713,5.3,paid off
0.449,15.58,default
0.286,12.13,default
0.712,2.82,paid off
0.567,8.26,paid off
0.406,8.7,default
0.599,5.44,paid off
0.244,9.7,default
0.514,10.11,paid off
0.308,18.94,default
0.379,9.26,default
0.524,4.45,paid off
0.226,9.54,default
0.561,8.86,default
0.713,1.36,paid off
0.39,2.4,paid off
0.693,7.09,paid off
0.666,9.62,paid off
0.645,4.82,paid off
0.324,8.18,default
0.546,8.21,paid off
0.743,10.93,paid off
0.563,1.93,paid off
0.402,5.41,default
0.773,2.03,paid off
0.613,13.11,default
0.246,14.29,default
0.61,3.68,paid off
0.438,18.47,default
0.577,9.86,paid off
0.382,4.56,paid off
0.623,7.75,paid off
0.605,12.71,default
0.424,10.71,default
0.655,11.24,paid off
0.57,4.84,paid off
0.527,5.02,default
0.661,5.84,paid off
0.639,8.64,default
0.212,8.82,default
0.605,13.41,paid off
0.632,2.09,paid off
0.592,5.11,paid off
0.391,10.18,default
0.627,10.68,paid off
0.329,20.0,default
0.358,12.24,default
0.652,5.2,paid off
0.768,2.85,paid off
0.636,1.56,paid off
0.387,11.98,default
0.607,8.73,paid off
0.237,9.14,default
0.553,12.29,default
0.675,6.4,paid off
0.382,13.08,default
0.217,9.66,default
0.439,13.37,default
0.615,5.49,paid off
0.311,5.67,default
0.532,11.2,default
0.412,6.9,default
0.688,6.54,paid off
0.364,11.29,default
0.249,6.89,default
0.335,4.54,paid off
0.404,9.08,default
0.479,4.41,paid off
0.578,11.04,default
0.533,3.47,paid off
0.407,16.02,default
0.741,2.37,paid off
0.229,8.83,default
0.409,14.49,default
0.402,11.85,default
0.766,3.54,paid off
0.458,6.45,paid off
0.269,18.88,default
0.642,4.84,paid off
0.636,3.92,paid off
0.466,8.58,default
0.341,6.73,default
0.66,4.89,paid off
0.363,11.94,default
0.39,8.81,default
0.596,2.33,paid off
0.537,3.83,paid off
0.476,10.49,default
0.696,4.0,paid off
0.331,12.03,default
0.452,5.22,default
0.765,7.5,paid off
0.288,14.15,default
0.579,3.87,paid off
0.338,7.24,default
0.372,7.21,default
0.418,15.59,default
0.508,4.69,paid off
0.745,4.93,paid off
0.5,7.81,paid off
0.277,4.32,default
